bill_id,status,cong,cosponsors,majority,republican,independent
103_hr2923,0,103,4.0,1.0,0,0
103_hr2928,0,103,0.0,1.0,0,0
103_hr293,0,103,0.0,1.0,0,0
103_hr2933,0,103,30.0,1.0,0,0
103_hr2936,0,103,31.0,0.0,1,0
103_hr2938,0,103,31.0,0.0,1,0
103_hr2942,1,103,44.0,0.0,1,0
103_hr2947,1,103,61.0,0.0,1,0
103_hr2952,0,103,0.0,1.0,0,0
103_hr2956,0,103,1.0,1.0,0,0
103_hr2957,0,103,19.0,0.0,1,0
103_hr2960,0,103,0.0,1.0,0,0
103_hr2961,0,103,20.0,1.0,0,0
103_hr2963,0,103,3.0,1.0,0,0
103_hr2972,0,103,3.0,0.0,1,0
103_hr2976,0,103,0.0,1.0,0,0
103_hr2980,0,103,27.0,1.0,0,0
103_hr2987,0,103,4.0,1.0,0,0
103_hr2989,0,103,4.0,0.0,1,0
103_hr299,0,103,28.0,0.0,1,0
103_hr2991,0,103,0.0,0.0,1,0
103_hr2994,0,103,0.0,1.0,0,0
103_hr3005,0,103,79.0,0.0,1,0
103_hr3006,0,103,12.0,1.0,0,0
103_hr3009,0,103,2.0,1.0,0,0
103_hr301,0,103,25.0,0.0,1,0
103_hr3010,0,103,3.0,1.0,0,0
103_hr3013,0,103,38.0,1.0,0,0
103_hr3019,1,103,1.0,1.0,0,0
103_hr3026,0,103,14.0,1.0,0,0
103_hr3028,0,103,8.0,0.0,1,0
103_hr3037,0,103,0.0,0.0,1,0
103_hr3038,0,103,46.0,0.0,1,0
103_hr3050,1,103,0.0,1.0,0,0
103_hr3058,0,103,1.0,1.0,0,0
103_hr3060,0,103,1.0,1.0,0,0
103_hr3063,0,103,0.0,1.0,0,0
103_hr3065,0,103,59.0,1.0,0,0
103_hr3076,0,103,32.0,1.0,0,0
103_hr308,0,103,0.0,0.0,1,0
103_hr3082,0,103,1.0,1.0,0,0
103_hr3083,0,103,0.0,1.0,0,0
103_hr3090,0,103,0.0,1.0,0,0
103_hr3098,0,103,46.0,1.0,0,0
103_hr3099,0,103,17.0,0.0,1,0
103_hr31,0,103,16.0,1.0,0,0
103_hr3100,0,103,21.0,1.0,0,0
103_hr3119,0,103,1.0,1.0,0,0
103_hr3125,0,103,20.0,0.0,1,0
103_hr3160,0,103,1.0,1.0,0,0
103_hr3162,0,103,1.0,1.0,0,0
103_hr3167,1,103,0.0,1.0,0,0
103_hr3168,0,103,3.0,1.0,0,0
103_hr3180,0,103,0.0,1.0,0,0
103_hr3184,0,103,13.0,1.0,0,0
103_hr32,0,103,0.0,1.0,0,0
103_hr321,0,103,1.0,0.0,1,0
103_hr3218,0,103,0.0,1.0,0,0
103_hr3221,0,103,0.0,1.0,0,0
103_hr3232,0,103,2.0,1.0,0,0
103_hr324,0,103,58.0,0.0,1,0
103_hr3245,0,103,1.0,1.0,0,0
103_hr3256,0,103,20.0,1.0,0,0
103_hr3258,0,103,0.0,1.0,0,0
103_hr3265,0,103,2.0,1.0,0,0
103_hr3267,0,103,0.0,1.0,0,0
103_hr3268,0,103,3.0,0.0,1,0
103_hr3272,0,103,12.0,1.0,0,0
103_hr3296,0,103,10.0,1.0,0,0
103_hr3300,0,103,1.0,1.0,0,0
103_hr3305,0,103,12.0,1.0,0,0
103_hr3310,0,103,5.0,1.0,0,0
103_hr3313,1,103,23.0,1.0,0,0
103_hr3322,0,103,31.0,1.0,0,0
103_hr3329,0,103,0.0,1.0,0,0
103_hr3332,0,103,0.0,1.0,0,0
103_hr3335,0,103,0.0,1.0,0,0
103_hr334,0,103,18.0,1.0,0,0
103_hr3342,0,103,234.0,1.0,0,0
103_hr3349,0,103,13.0,0.0,1,0
103_hr3350,0,103,2.0,1.0,0,0
103_hr3351,0,103,3.0,1.0,0,0
103_hr3352,0,103,8.0,1.0,0,0
103_hr3353,0,103,2.0,1.0,0,0
103_hr3354,0,103,2.0,1.0,0,0
103_hr336,0,103,0.0,0.0,1,0
103_hr3360,0,103,33.0,1.0,0,0
103_hr3361,0,103,0.0,0.0,1,0
103_hr3362,0,103,0.0,1.0,0,0
103_hr3365,0,103,46.0,1.0,0,0
103_hr337,0,103,0.0,0.0,1,0
103_hr3372,0,103,225.0,1.0,0,0
103_hr3375,0,103,2.0,1.0,0,0
103_hr3379,0,103,0.0,1.0,0,0
103_hr3383,0,103,0.0,1.0,0,0
